,매장명,주소,전화번호
0,대구영대병원역DT,대구광역시 남구 봉덕로 25 (봉덕동),1522-3232
1,대구앞산DT,대구광역시 남구 현충로 32 (대명동),1522-3232
2,대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33 (대명동),1522-3232
3,계명대동산병원,대구광역시 달서구 달구벌대로 1035 (신당동),1522-3232
4,대구죽전역,대구광역시 달서구 와룡로 169,1522-3232
5,대구월곡DT,대구광역시 달서구 월곡로 225 (상인동),1522-3232
6,대구광장,대구광역시 달서구 달구벌대로 1710 (두류동),1522-3232
7,대구월촌역,대구광역시 달서구 월배로 315 (송현동),1522-3232
8,대구진천역,대구광역시 달서구 월배로 91 (진천동),1522-3232
9,대구도원DT,대구광역시 달서구 상화로 314 (도원동),1522-3232
10,대구월성,대구광역시 달서구 조암로 41 (월성동),1522-3232
11,대구수목원,대구광역시 달서구 화암로 379,1522-3232
12,대구성서IC DT,대구광역시 달서구 달구벌대로 1393,1522-3232
13,대구감삼DT,대구광역시 달서구 와룡로 131,1522-3232
14,대구상인역,대구광역시 달서구 월배로 210 (상인동),1522-3232
15,대구두류DT,대구광역시 달서구 달구벌대로 1798 (두류동),1522-3232
16,대구상인DT,대구광역시 달서구 월곡로 334 (상인동),1522-3232
17,대구계명대,대구광역시 달서구 계대동문로 13 (신당동),1522-3232
18,대구성서,"대구광역시 달서구 이곡공원로 26, 이곡메디컬빌딩 (이곡동)",1522-3232
19,대구서부정류장역,대구광역시 달서구 구마로 265 (성당동),1522-3232
20,대구이월드,대구광역시 달서구 두류공원로 200 (두류동),1522-3232
21,신세계대구3F(티바나),대구광역시 동구 동부로 149 신세계백화점 대구점 3층,1522-3232
22,신세계대구8FR,대구광역시 동구 동부로 149 신세계백화점 대구점 8층,1522-3232
23,동대구로DT,대구광역시 동구 동대구로 422 (신천동),1522-3232
24,대구팔공산,대구광역시 동구 파계로 650,1522-3232
25,대구봉무,대구광역시 동구 팔공로51길 15-11 (봉무동),1522-3232
26,동대구터미널,대구광역시 동구 동부로30길 12 (신천동),1522-3232
27,대구동촌유원지,대구광역시 동구 효동로2길 45 (효목동),1522-3232
28,반야월이마트,"대구광역시 동구 안심로 389-2, 이마트 1층 (신서동)",1522-3232
29,대구팔공로DT,대구광역시 동구 팔공로 332 (봉무동),1522-3232
30,대구율하,대구광역시 동구 안심로16길 47 (율하동),1522-3232
31,대구각산역DT,대구광역시 동구 안심로 383,1522-3232
32,대구평리DT,대구광역시 서구 서대구로 89 (평리1동),1522-3232
33,대구수성도서관DT,대구광역시 수성구 화랑로 112 (만촌동),1522-3232
34,대구그랜드호텔R,대구광역시 수성구 동대구로 305 (범어동),1522-3232
35,국립대구박물관DT,대구광역시 수성구 청호로 318 (황금동),1522-3232
36,대구수성호수R,대구광역시 수성구 용학로 56 (두산동),1522-3232
37,대구수성동,대구광역시 수성구 명덕로 460 (수성동3가),1522-3232
38,대구수성네거리DT,대구광역시 수성구 들안로 342 (수성동4가),1522-3232
39,대구중동DT,대구광역시 수성구 수성로 243 (중동),1522-3232
40,대구중동네거리DT,대구광역시 수성구 청수로 51 (중동),1522-3232
41,대구상동DT,대구광역시 수성구 무학로 29(상동),1522-3232
42,대구황금DT,대구광역시 수성구 청수로 164 (지산동),1522-3232
43,대구삼성화재,대구광역시 수성구 동대구로 401 (범어동) 삼성화재사옥,1522-3232
44,대구시지,대구광역시 수성구 달구벌대로 3216 (신매동),1522-3232
45,대구만촌DT,"대구광역시 수성구 달구벌대로 2636, , 853-25번지 (만촌동)",1522-3232
46,대구수성하이츠,"대구광역시 수성구 수성로 393, 수성하이츠 1층 (수성동4가)",1522-3232
47,동아수성,"대구광역시 수성구 지범로 191, 동아백화점수성점 1층 (범물동)",1522-3232
48,수성리더스,대구광역시 수성구 동대구로 95 (두산동),1522-3232
49,수성레이크,대구광역시 수성구 수성못길 4 (두산동),1522-3232
50,대구범어제니스,"대구광역시 수성구 달구벌대로 2435, 두산위브더제니스아파트 상가 1층 110호 (범어동)",1522-3232
51,대구두산DT,대구광역시 수성구 지범로 37 (두산동),1522-3232
52,대구들안길DT,대구광역시 수성구 들안로 85 (상동),1522-3232
53,대구만촌이마트,대구광역시 수성구 동원로 136 (만촌동),1522-3232
54,대구시티센터,대구광역시 중구 국채보상로 611 (문화동),1522-3232
55,대구계산,대구광역시 중구 달구벌대로415길 1 (계산동2가),1522-3232
56,대구중앙로역,대구광역시 중구 국채보상로 582 (남일동),1522-3232
57,대구공평DT,대구광역시 중구 국채보상로 642 (동인동2가),1522-3232
58,반월당,대구광역시 중구 달구벌대로 2085 (덕산동) 동아쇼핑,1522-3232
59,동성로광장,대구광역시 중구 동성로 4 (동성로3가),1522-3232
60,동성로중앙,대구광역시 중구 동성로5길 38 (삼덕동1가),1522-3232
61,동성로로데오,대구광역시 중구 동성로5길 62 (삼덕동1가),1522-3232
62,대구반월삼성,대구광역시 중구 달구벌대로 2095 (덕산동),1522-3232
63,대구228중앙공원,대구광역시 중구 동성로2길 95 (동성로2가),1522-3232
64,대구칠성DT,대구광역시 북구 중앙대로 524 (칠성동2가),1522-3232
65,대구유통단지,대구광역시 북구 유통단지로8길 78 106호 (산격동),1522-3232
66,대구칠곡대로DT,대구광역시 북구 칠곡중앙대로 348 (태전동),1522-3232
67,대구동천,대구광역시 북구 동천로 123,1522-3232
68,대구침산DT,대구광역시 북구 침산로 126 (침산동),1522-3232
69,대구칠곡,대구광역시 북구 학정로 422 (구암동) 태을빌딩,1522-3232
70,경북대,대구광역시 북구 대학로 75 (산격동),1522-3232
71,대구복현DT,대구광역시 북구 대학로 150 (복현동),1522-3232
72,대구칠곡읍내DT,칠곡중앙대로 631 칠곡중앙대로 631,1522-3232
73,대구칠성이마트,대구광역시 북구 침산로 93 (칠성동2가),1522-3232
74,대구테크노폴리스,"대구광역시 달성군 유가면 테크노상업로 84 대경타워 105호, 106호, 107호",1522-3232
